Epsilon , 	 Path L ,	 Time[s]
0.01 ,	1470 ,	6.362
0.01 ,	1696 ,	10.292
0.01 ,	1687 ,	11.399
0.01 ,	1469 ,	6.975
0.01 ,	1684 ,	9.457
0.01 ,	1477 ,	7.581
0.01 ,	1489 ,	7.781
0.01 ,	1571 ,	9.778
0.01 ,	1616 ,	11.763
0.01 ,	1514 ,	10.878
0.01 ,	1651 ,	8.007
0.01 ,	1630 ,	9.884
0.01 ,	1699 ,	12.584
0.01 ,	1476 ,	9.996
0.01 ,	1786 ,	8.956
0.01 ,	1718 ,	9.352
0.01 ,	1698 ,	8.641
0.01 ,	1550 ,	10.296
0.01 ,	1649 ,	9.074
0.01 ,	1639 ,	10.218
0.01 ,	1781 ,	8.608
0.01 ,	1685 ,	10.715
0.01 ,	1743 ,	10.498
0.01 ,	1352 ,	8.376
0.01 ,	2108 ,	14.356
0.01 ,	1806 ,	8.642
0.01 ,	1563 ,	9.329
0.01 ,	1560 ,	10.24
0.01 ,	1515 ,	10.346
0.01 ,	1704 ,	12.675
0.01 ,	1719 ,	9.736
0.01 ,	1636 ,	9.7
0.01 ,	1463 ,	7.339
0.01 ,	1629 ,	11.782
0.01 ,	1690 ,	13.005
0.01 ,	1626 ,	10.356
0.01 ,	1350 ,	6.763
0.01 ,	1730 ,	13.243
0.01 ,	1563 ,	9.958
0.01 ,	1697 ,	11.336
0.01 ,	1688 ,	11.909
NaN ,	NaN
0.01 ,	1701 ,	12.316
0.01 ,	2004 ,	10.793
0.01 ,	1681 ,	8.001
0.01 ,	1726 ,	9.349
0.01 ,	1802 ,	12.91
0.01 ,	1633 ,	10.857
0.01 ,	1624 ,	10.867
0.01 ,	1660 ,	8.364
0.01 ,	1660 ,	10.382
0.01 ,	1622 ,	9.386
0.01 ,	1675 ,	11.102
0.01 ,	1733 ,	9.375
0.01 ,	1758 ,	10.226
0.01 ,	1634 ,	11.377
0.01 ,	1676 ,	13.45
0.01 ,	2049 ,	10.769
0.01 ,	1784 ,	10.526
0.01 ,	1639 ,	7.797
0.01 ,	1795 ,	13.667
0.01 ,	1749 ,	9.523
0.01 ,	1781 ,	11.24
0.01 ,	1764 ,	10.224
0.01 ,	1755 ,	10.69
0.01 ,	1952 ,	12.495
0.01 ,	1623 ,	8.504
0.01 ,	1520 ,	8.704
0.01 ,	1716 ,	11.447
0.01 ,	1626 ,	9.007
0.01 ,	1643 ,	8.743
0.01 ,	1563 ,	6.144
0.01 ,	1696 ,	10.087
0.01 ,	1667 ,	12.471
0.01 ,	1500 ,	7.823
0.01 ,	1571 ,	10.421
0.01 ,	1654 ,	8.825
0.01 ,	1719 ,	11.072
0.01 ,	1721 ,	11.187
0.01 ,	1472 ,	6.555
0.01 ,	1632 ,	9.311
0.01 ,	1735 ,	10.838
0.01 ,	1717 ,	9.899
0.01 ,	1725 ,	9.079
0.01 ,	1643 ,	12.82
0.01 ,	1710 ,	14.787
0.01 ,	1640 ,	8.726
0.01 ,	1708 ,	11.539
0.01 ,	1704 ,	9.833
0.01 ,	1654 ,	10.672
0.01 ,	1902 ,	13.173
0.01 ,	1549 ,	6.786
0.01 ,	1511 ,	8.154
0.01 ,	1734 ,	12.765
0.01 ,	1591 ,	6.4
